delivery_date,time_code,area_group,clearing_price_estimate,upside_depth_mw,downside_depth_mw,tightest_depth_mw,price_band_jpy_kwh,stack_regime
2026-09-06,46,Hokkaido / Tohoku / Tokyo / Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,12.88,3099.5,7379.0999999999985,3099.5,5.0,Balanced stack
2026-09-06,46,System Price,12.88,3099.5,7379.0999999999985,3099.5,5.0,Balanced stack
2026-09-06,47,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,11.88,2686.7000000000007,4224.799999999999,2686.7000000000007,5.0,Balanced stack
2026-09-06,47,System Price,11.57,3751.9000000000015,7184.4000000000015,3751.9000000000015,5.0,Balanced stack
2026-09-06,47,Tohoku / Tokyo,11.06,1422.4000000000015,2757.600000000002,1422.4000000000015,5.0,Thin stack
2026-09-06,48,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,10.21,1212.2999999999993,2649.5999999999985,1212.2999999999993,5.0,Thin stack
2026-09-06,48,System Price,10.6,4472.800000000003,5346.4000000000015,4472.800000000003,5.0,Balanced stack
2026-09-06,48,Tohoku / Tokyo,10.04,904.7999999999993,1881.5,904.7999999999993,5.0,Thin stack
2026-09-07,1,Hokkaido / Tohoku / Tokyo,11.17,1173.4999999999964,2146.900000000005,1173.4999999999964,5.0,Thin stack
2026-09-07,1,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,10.57,1543.7000000000007,2017.7000000000007,1543.7000000000007,5.0,Balanced stack
2026-09-07,1,System Price,10.57,6189.0,3790.0,3790.0,5.0,Balanced stack
2026-09-07,2,Hokkaido / Tohoku / Tokyo,10.11,756.8999999999978,2308.2999999999993,756.8999999999978,5.0,Thin stack
2026-09-07,2,Hokuriku / Kansai / Chugoku / Shikoku,12.43,1693.0,652.1000000000004,652.1000000000004,5.0,Thin stack
2026-09-07,2,System Price,10.54,4977.200000000004,4749.199999999997,4749.199999999997,5.0,Balanced stack
2026-09-07,3,Hokkaido / Tohoku / Tokyo,9.79,1334.2000000000044,1816.3999999999978,1334.2000000000044,5.0,Thin stack
2026-09-07,3,Hokuriku / Kansai / Chugoku / Shikoku,12.43,1589.699999999999,850.7000000000007,850.7000000000007,5.0,Thin stack
2026-09-07,3,System Price,10.03,5309.100000000006,5087.5999999999985,5087.5999999999985,5.0,Balanced stack
2026-09-07,4,Hokkaido / Tohoku / Tokyo,9.52,1442.199999999997,1505.5,1442.199999999997,5.0,Thin stack
2026-09-07,4,Hokuriku / Kansai / Chugoku / Shikoku,10.33,1056.8999999999996,709.8000000000011,709.8000000000011,5.0,Thin stack
2026-09-07,4,System Price,9.92,5912.0,4654.9000000000015,4654.9000000000015,5.0,Balanced stack
2026-09-07,5,Hokkaido / Tohoku / Tokyo,9.47,1464.4000000000015,1481.5,1464.4000000000015,5.0,Thin stack
2026-09-07,5,Hokuriku / Kansai / Chugoku / Shikoku,10.55,800.3000000000011,775.8999999999996,775.8999999999996,5.0,Thin stack
2026-09-07,5,System Price,10.03,5711.699999999997,4679.9000000000015,4679.9000000000015,5.0,Balanced stack
2026-09-07,6,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,13.03,2195.399999999998,3262.300000000003,2195.399999999998,5.0,Balanced stack
2026-09-07,6,Hokkaido / Tohoku / Tokyo,9.53,1525.6000000000022,1479.3999999999978,1479.3999999999978,5.0,Thin stack
2026-09-07,6,System Price,10.21,5513.300000000003,4179.800000000003,4179.800000000003,5.0,Balanced stack
2026-09-07,7,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,13.28,1461.9999999999964,3876.7000000000007,1461.9999999999964,5.0,Thin stack
