date,market,region,asset_class,frequency,contract,price,currency,unit
2025-10-31,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.010208333333333,JPY,JPY/kWh
2025-11-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.605625,JPY,JPY/kWh
2025-11-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.7124999999999995,JPY,JPY/kWh
2025-11-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.418333333333333,JPY,JPY/kWh
2025-11-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.810208333333334,JPY,JPY/kWh
2025-11-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.274166666666668,JPY,JPY/kWh
2025-11-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.566666666666666,JPY,JPY/kWh
2025-11-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.911875,JPY,JPY/kWh
2025-11-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.4575,JPY,JPY/kWh
2025-11-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.063541666666666,JPY,JPY/kWh
2025-11-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.542916666666667,JPY,JPY/kWh
2025-11-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.493333333333334,JPY,JPY/kWh
2025-11-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.541875,JPY,JPY/kWh
2025-11-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.955,JPY,JPY/kWh
2025-11-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.261666666666667,JPY,JPY/kWh
2025-11-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.243958333333333,JPY,JPY/kWh
2025-11-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.0375000000000005,JPY,JPY/kWh
2025-11-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.898541666666667,JPY,JPY/kWh
2025-11-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.908333333333333,JPY,JPY/kWh
2025-11-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.769374999999998,JPY,JPY/kWh
2025-11-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.613750000000001,JPY,JPY/kWh
2025-11-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.537083333333333,JPY,JPY/kWh
2025-11-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.134375,JPY,JPY/kWh
2025-11-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.15625,JPY,JPY/kWh
2025-11-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.34,JPY,JPY/kWh
2025-11-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.871041666666667,JPY,JPY/kWh
2025-11-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.203541666666666,JPY,JPY/kWh
2025-11-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.792916666666665,JPY,JPY/kWh
2025-11-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.22625,JPY,JPY/kWh
2025-11-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.994583333333333,JPY,JPY/kWh
2025-11-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.454791666666666,JPY,JPY/kWh
2025-12-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.994583333333333,JPY,JPY/kWh
2025-12-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.435625,JPY,JPY/kWh
2025-12-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.427083333333334,JPY,JPY/kWh
